id,probabilidad,decil
1,0.07193087246663443,8
2,0.0021050380635524216,2
3,0.0054472715134528185,3
4,0.027108586940172888,6
6,0.06524374954014692,8
7,0.009826081703893626,4
8,0.09699005150896495,10
9,0.004532771405426454,3
11,0.005552242513590369,3
12,0.0002310342362308868,1
13,0.0219130144415175,4
14,0.09611929318272326,9
15,0.004077339610304379,3
17,0.02618687624100754,5
18,0.0015639695472497446,2
19,0.06236734630173977,8
20,0.0621401800202866,7
21,0.005687380865618054,3
22,0.06869218639459944,8
23,0.002667489100083698,2
24,0.023436696850330313,5
25,0.002223913877612174,2
26,0.022633845589101864,4
27,0.0014683894296292632,2
28,0.0025263130299058184,2
29,0.09370924992539115,9
30,0.09699005150896495,10
31,0.0012558592724680896,2
32,0.004663192779956315,3
34,0.06227794442831775,8
35,0.02319389315773452,4
36,0.06521258116084731,8
37,0.0018875634901968342,2
38,0.026761115418390036,6
39,0.06869218639459944,8
40,0.0054472715134528185,3
41,0.10285398652340742,10
42,0.09483273096817456,9
43,0.0259706050171385,5
44,0.0016351812565142732,2
45,0.001553586043976226,2
46,0.026037522527837767,5
47,0.0015639695472497446,2
48,0.030060477091615252,6
49,0.0013596006071009356,2
50,0.09116175778817079,9
51,0.09737634688083795,10
52,0.024011013096134192,5
53,0.022742235790313103,4
55,0.09470704926407393,9
56,0.0015081963525191186,2
57,0.022633845589101864,4
58,0.02388477665953116,5
59,0.0030131232962019045,3
60,0.06245105167216417,8
61,0.06245105167216417,8
62,0.025321394915651503,5
63,0.0007836552359085534,1
65,0.0016441937920728387,2
66,0.0291525523449741,6
67,0.07193087246663443,8
69,0.09116175778817079,9
70,0.023130978910231508,4
71,0.11408192727568163,10
72,0.06231480307874596,8
73,0.10285398652340742,10
74,0.02319525575604663,4
75,0.02300382349742694,4
76,0.031750216653935216,7
77,0.0621401800202866,7
78,0.02666494850406596,6
79,0.005036477777298784,3
80,0.0291525523449741,6
81,0.026583993439707524,6
82,0.09737634688083795,10
83,0.00029778842281855496,1
84,0.003407291324135588,3
85,0.06211125568485443,7
86,0.02271428671468658,4
88,0.06227794442831775,8
89,0.022742235790313103,4
90,0.02736255045857041,6
91,0.030060477091615252,6
93,0.09688508050882738,10
94,0.0015621356340887302,2
95,0.005310902100651417,3
96,0.11935889298302187,10
97,0.0057756916855292596,3
98,8.185899128597835e-05,1
99,0.005687380865618054,3
100,0.000853015290338788,1
101,0.022251078595000258,4
102,0.0005551046124121934,1
103,0.09470146751338669,9
104,0.02271428671468658,4
105,0.027108586940172888,6
106,0.0018875634901968342,2
107,0.007461364228835081,4
108,0.0013596006071009356,2
109,0.09688508050882738,10
110,0.09116175778817079,9
111,0.02618704022416981,5
112,0.06860417429249963,8
113,0.005553640603644549,3
114,0.06161721874490648,7
115,0.005882816314950198,3
116,0.00586414699616544,3
117,0.02271428671468658,4
118,0.022979659461686258,4
119,0.030060477091615252,6
120,0.06208824489872932,7
122,0.11935889298302187,10
123,0.09483273096817456,9
124,0.024011013096134192,5
125,0.0995831809571904,10
126,0.06236734630173977,8
127,0.005882816314950198,3
128,0.00012653343711258142,1
129,0.030060477091615252,6
130,0.0014683894296292632,2
131,0.0018875634901968342,2
132,0.02706381925565915,6
133,0.0054472715134528185,3
134,0.0259706050171385,5
135,0.02461668134226331,5
136,0.02461668134226331,5
137,0.06225706526655154,7
138,0.06202844714649365,7
139,0.0002182533262646743,1
140,0.726913424623996,10
141,0.004393578060549833,3
142,0.010375851670131353,4
143,0.030039694008688417,6
144,0.00029778842281855496,1
145,0.09473950839197455,9
146,0.007605213518935822,4
147,0.06211125568485443,7
148,0.02388477665953116,5
149,0.001216455585946399,2
150,0.0016834786044970678,2
151,0.0018875634901968342,2
152,0.09737634688083795,10
153,0.022979659461686258,4
154,0.005687380865618054,3
